ID,Item Name,Description,Price,Image
"178452","Vase Saviosa","This modern brown glass vase offers a textured finish, ideal for a living room or bedroom. A refined accessory that adds style to a hallway or terrace.","$54","https://cdn.globus.pictures/fr/private/1500/1500/f35278a808cd442910881626753a01549d973f4ddee31701f32f1841f33a93ed.jpeg::522:300/970:1208?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178446","Candlestick Marzeta","Modern metal candlestick with a minimalist silhouette for a living room or hallway. This piece adds a refined accent to any bedroom or dining room.","$88","https://cdn.globus.pictures/fr/private/1500/1500/c043a711f8c4fed11f5ddba12e023940bc5964248a993cca6bd95191bc2e329c.jpeg::536:309/865:1108?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178444","Figurine Primari","Modern black figurine featuring a minimalist silhouette. This stylish accent piece fits a living room, bedroom, or hallway for a sleek contemporary feel.","$88","https://cdn.globus.pictures/fr/private/1500/1500/307de698b435dbd3a4c3138dc7126f2f78e428bfbad1c4f757805113bae3bfd3.jpeg::388:301/990:1123?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178443","Dishes Cestius","Refine your modern kitchen with this sculpted decorative dish. Its textured brown finish and organic form create a unique accent for a luxury dining room.","$74","https://cdn.globus.pictures/fr/private/1500/1500/d281947829d0b7f762cdfa420d5e42d5c44105adc1d844b3decf73340be1d85f.jpeg::192:505/1204:933?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178368","Painting Malezio","This modern abstract painting adds a subtle touch to a living room or bedroom. Its neutral palette suits a dining room or hallway interior beautifully.","$320","https://cdn.globus.pictures/fr/private/1000/1000/89801835b64350156af82b1378efc68c4c1b380e04eb16c5e9986a765822b21d.png::301:195/636:772?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1244&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1244"
"178338","Carpet Oppulento","Modern round polyester carpet with a black radial pattern on beige. Ideal for a living room, bedroom, dining room, or hallway with a contemporary style.","$69","https://cdn.globus.pictures/fr/private/1375/1375/b7dad44c7bf724b1156f4cd3ade37980b592b1d1ba73504f95c8ec642c40664d.png::296:274/1034:1011?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
"178450","Vase Pietruca","This modern ceramic vase features sage green crackle glaze and geometric silhouette, ideal for a living room, bedroom, dining area, hallway, or terrace.","$148","https://cdn.globus.pictures/fr/private/1500/1500/2857a705e452e8ac3848ca9e44f2be008de41327441a7a3062a1bcd58ad46a08.jpeg::456:354/1049:1214?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178440","Candlestick Tenaria","This modern black metal candlestick features a minimalist tiered design, adding a sleek accent to your living room, dining room, bedroom, or hallway.","$95","https://cdn.globus.pictures/fr/private/1500/1500/7d269abb8e85f5d56c5b5453c25cf81e00b8f315af70a2f02f5e728ba1f44b00.jpeg::550:293/867:1150?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178441","Figurine Vitauna","This modern stone lion figurine adds a refined touch to your living room. A sophisticated decor piece suitable for a contemporary bedroom or hallway.","$326","https://cdn.globus.pictures/fr/private/1500/1500/e8c364d6a26b1dc6d8dd43570380b1541c65876d048b2f4a2b0b70072248d74c.jpeg::447:242/1007:1236?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1867&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1867"
"178367","Painting Franatica","Enhance a living room or bedroom with this modern abstract painting. The geometric black and white design adds texture to a dining room or hallway.","$506","https://cdn.globus.pictures/fr/private/1375/1375/78b0c7f87e3a18f8b54b3ca2bc1a50de2ec771d5df47ba1ac2235452ba459a3b.png::362:225/1058:1071?bottom=0.18169398907103826&amp;fitMode=auto&amp;h=1711&amp;left=0.09836065573770492&amp;right=0.09836065573770492&amp;top=0.19672131147540983&amp;transX=50&amp;transY=50&amp;w=1711"
